is_active,Soft_skill,Title,Description,Link_url,Data_type,Paid
True,Group Discussion,"GD/RP/CS recording - GE on ""You are fresh out of college applying for job "" ","Live recording of actual group discussion (or Role Play or Case Study) session on the said topic. Lot to learn about content, body language, GD dynamics, examiner analysis and inputs. Any student keen on improving her/his GD performance should watch and learn. No feedback is to be taken personally - it is for everyone's improvement. Make notes. Audio and Video quality is unedited original.",https://www.youtube.com/watch?v=z6qlHaBlfvc,VI,False
True,Group Discussion,How to discuss a topic in a group ,"Five English teachers come together to show you how to discuss a topic in a group. You'll learn how to give your opinion, interrupt, contradict, and more. We'll teach you how to use expressions like ""in a nutshell"", ""please let me finish"", and ""don't get me wrong"". You can use these expressions confidently in personal, social, and professional situations.",https://www.youtube.com/watch?v=YY2yjEEoB3U,VI,False
True,Group Discussion,Sentence starters for Group Discussion | Group Discussion Tips | TalentSprint ,Group Discussion is an exchange of ideas and opinions that are debated upon. Hence it is very important to use the right words and sentences to convey the message correctly. Many times we hesitate to put forth our ideas only because we do not know how to begin.This video will address that problem and help you with various sentences starters for Group Discussions.,https://www.youtube.com/watch?v=JuBAXrPGiXg,VI,False
True,Group Discussion,Do's and Don'ts in a GD - Group Discussion tips from Freshersworld.com ,"It is very important to understand and adhere to some of the ""Do's and Don'ts in Group Discusstion"" because in campus interviews or any of the job interview GD plays very important role, It helps in evaluating candidates whether his/her skills will benefits for a company or not",https://www.youtube.com/watch?v=OgzIoTLFqOY,VI,False
True,Group Discussion,5 Tips if you don't know much about the GD Topic ,"The video can help you to assess your plans and enhance your presentation exponentially.
Presentation in a group discussion is based on hard work, incorporating tips and strategies to reach a common conclusion. Group discussion helps to find out whether you possess the critical qualities/skills to contribute effectively to the process even if you lack much knowledge about the topic. Such a situation in a GD tends to test your tactfulness, analytical and structuring skills. In the video, our expert faculty shares some tips and strategies to help you handle this situation in a group discussion. The video gives an insight with respect to strategies for creating a strong competitive advantage in such an event.
",https://www.youtube.com/watch?v=pqDTC7hmwoU,VI,False
True,Personal Interview Tips,Interview Preparation MasterClass - Learn How To Prepare For A Job Interview,"So, if you have an interview coming soon, or if you are unemployed or underemployed, it’s your lucky day. Because things are about to change for you...How To Leverage Unwritten Requirements",https://www.youtube.com/watch?v=9mXG3AiXVMY,VI,False
True,Personal Interview Tips,10 interviewing rules,"In the current job market, you'd better have your act together, or you won't stand a chance against the competition. Be prepared to the best of your ability. There is no way to predict what an interview holds, but by following these important rules you will feel less anxious and will be ready to positively present yourself. Check yourself on these 10 basic points before you go on that all-important interview. ",https://www.monster.com/career-advice/article/ten-interviewing-rules,BL,False
True,Personal Interview Tips,Job Interview Question & Answers for freshers - Free Job Interview tips & English Lessons ,Straight out of college and looking for a job or probably you already have an interview lined up. Here are few tips for freshers that will help to ace the job interview.You have completed your education and heading towards a new phase of life and you really don't want to goof up.,https://www.youtube.com/watch?v=gnqzM6FWgTE,VI,False
True,Personal Interview Tips,08 common Interview question and answers - Job Interview Skills,08 common Interview question and answers - Job Interview Skills,https://www.youtube.com/watch?v=1mHjMNZZvFo,VI,False
True,Time Management,Time Management Tips,So you want to get more done? Here are the time management tips that will help you get work done!,https://www.youtube.com/watch?v=GiUdZ9U-2q4,VI,False
True,Time Management,How To Multiply Your Time,"Everything you know about time-management is wrong. In this challenging and counter-intuitive video, Self-Discipline Strategist and New York Times bestselling author of Rory Vaden, shows you why you can't solve today's time-management challenges with yesterday's time-management strategies. More importantly he explains why procrastinating on purpose is the key to being able to Multiply your time.",https://www.youtube.com/watch?v=y2X7c9TUQJ8,VI,False
True,Time Management,Time Management Strategies By Tutorial Point,Understand the difference between being Busy! and being Productive! Learn Various Time Management strategies from this video.,https://www.youtube.com/watch?v=KJLHlOIdqA4,VI,False
True,Time Management,Time Management Strategies By Tutorial Point,“Time management” is the way we decide to utilize our time in order to maximize our productivity in achieving certain long-term goals.Learn various strategies to manage it.,https://toggl.com/time-management-tips,BL,False
True,Time Management,11 Time Management Tips That Work,Power Up and Be More Productive With These Time Management Tips,https://www.thebalance.com/time-management-tips-2947336,BL,False
True,Time Management,Time Management: How to Get It All Done,"In this keynote excerpt (approximately the middle third of a one-hour keynote), time management strategies consultant Helene Segura shares how to get it all done by implementing structure and flow and by assembling your team.",https://www.youtube.com/watch?v=-opxaWMoZxo,VI,False
True,Time Management,"What is Time Management? - Definition, Examples & Studies",There are more options today than ever before for ways to spend our time - or waste it! Read on to learn why and how we can better manage our most scarce resource.,https://study.com/academy/lesson/what-is-time-management-definition-examples-studies.html,CO,False
True,Time Management,Productivity and Time Management for the Overwhelmed,A complete productivity and time management course designed to help you reduce your overwhelm and increase your results.,https://www.udemy.com/productivity-and-time-management/,CO,True
True,Time Management,"Time Management, Goal Setting, Focus & Concentration: Basics","A Simple Guide to Effective Time Management & Goal Setting, Increasing Focus & Concentration & Overcoming Failures",https://www.udemy.com/time-management-goal-setting-focus-concentration-essentials/,CO,False
True,Time Management,Time Management as a Learning Strategy,,https://www.sophia.org/tutorials/time-management-as-a-learning-strategy,BL,False
True,Time Management,How to Plan your Day effectively?,This Time Management video will give you some quick tips on how to plan your day effectively while increasing your efficiency and productivity. These tips in hindi will help your to organise your day and time which will help you to achieve more success and happiness in life.,https://www.youtube.com/watch?v=fqR7JP1s-aM,VI,False
True,Time Management,Introduction to Time Management,"Managing your time effectively and efficiently in the modern workplace is a key skill that all workers need to have. All the demands, distractions and interruptions of the working day can be overwhelming if not managed correctly. The course Introduction to Time Management will offer some suggestions for keeping the tide of external demands at bay and help you to develop a truly efficient routine and rhythm to your working day.",https://alison.com/course/introduction-to-time-management-revised-2017,CO,False
True,Body Language,How To Read Body Language,"Non-verbal communication is a lot more than just body language. Non-verbal communication deals with everything except for, like, the content of a conversation.So learn about how body language impacts others and study the way in which you can improve it.",https://www.youtube.com/watch?v=6X-dgzzev8M&list=PL09BD3E11E677A3CC,VI,False
