is_active,Title,Description,Link_url,Data_type,Paid
TRUE,How the Internet Works,,https://www.youtube.com/watch?v=7_LPdttKXPc,VI,FALSE
TRUE,What is a VPN,Hide your IP Address.Learn about Virtual Private Network ,https://www.youtube.com/watch?v=xGjGQ24cXAY,VI,FALSE
TRUE,"""Difficult"" stuff, simple explanations","To make learning more fun and interesting, here’s a list of important computer science theories and concepts explained with analogies and minimal technical terms.",http://carlcheo.com/compsci,BL,FALSE
TRUE,Visualize Algorithm,,https://visualgo.net/en,OT,FALSE
TRUE,How To Build a Computer-Explanation about different parts,,https://www.youtube.com/watch?v=lPIXAtNGGCw,VI,FALSE
TRUE,How To Build a Computer- Assembling,,https://www.youtube.com/watch?v=d_56kyib-Ls,VI,FALSE
TRUE,How To Build a Computer- Installing OS and Drivers,,https://www.youtube.com/watch?v=RxaVBsXEiok,VI,FALSE
TRUE,How to Set Up a Router,,https://www.youtube.com/watch?v=r7FxORx05Ns,VI,FALSE
TRUE,How to Share Files Using Wifi,,https://www.youtube.com/watch?v=amPQnKY7gFs,VI,FALSE
TRUE,Different Storage Options,,https://www.youtube.com/watch?v=bpUzGZLO948,VI,FALSE
TRUE,Working of Bit Torrent Explained,,https://www.youtube.com/watch?v=EkkFT1bRCT0&index=66&list=PLQMVnqe4XbictUtFZK1-gBYvyUzTWJnOk,VI,FALSE
TRUE,"Overview of Sound Cards,DACs, and Amps","Sound cards, DACs, and amps are all highly discussed topics in the PC and audiophile worlds.",https://www.youtube.com/watch?v=bPkJgiVb_C4&list=PLQMVnqe4XbictUtFZK1-gBYvyUzTWJnOk&index=33,VI,FALSE
TRUE,MVC Explained- Using Legos,,https://realpython.com/the-model-view-controller-mvc-paradigm-summarized-with-legos/,BL,FALSE
TRUE,Using Remote Assistance,Remote Assistance is designed to provide help to the user in the same way that they would get help from someone if the person were looking over their shoulder so to speak.,https://www.youtube.com/watch?v=ZrOVosaKIr8,VI,FALSE
TRUE,What are APIs,,https://www.programmableweb.com/api-university/what-are-apis-and-how-do-they-work,BL,FALSE
TRUE,Unicode,,https://www.joelonsoftware.com/2003/10/08/the-absolute-minimum-every-software-developer-absolutely-positively-must-know-about-unicode-and-character-sets-no-excuses/,BL,FALSE
TRUE,Unicode Pain,,https://nedbatchelder.com/text/unipain.html,BL,FALSE
TRUE,SSDs vs Hard Drives,,https://www.youtube.com/watch?v=YQEjGKYXjw8,VI,FALSE
TRUE,Few Useful Technical Terms,,https://www.youtube.com/watch?v=HtEzuAqWmoE,VI,FALSE
TRUE,What Is SEO,,https://www.youtube.com/watch?v=UC3N1plmoyU,VI,FALSE
TRUE,What is Git | What is GitHub | Git Tutorial,"This DevOps Tutorial on what is Git & what is GitHub will let you know all about Version Control System & Version Control Tools like Git. You will learn all the Git commands to create repositories on your local machine & GitHub, commit changes, push & pull files. Also you will get your hands on with some advanced operations in Git like branching, merging, rebasing etc.",https://www.youtube.com/watch?v=xuB1Id2Wxak,VI,FALSE
TRUE,Git Tutorial Playlist,,https://www.youtube.com/watch?v=cEGIFZDyszA&list=PL6gx4Cwl9DGAKWClAD_iKpNC0bGHxGhcx,VI,FALSE
TRUE,Bluetooth Explained | All you need to know!,How does Bluetooth transfer files from one device to the other one? This video explains how Bluetooth works and why Bluetooth has this outlandish name!,https://www.youtube.com/watch?v=TXmOpc5_PO8,VI,FALSE
TRUE,How Does Wi-Fi Work?,"Greg Foot explains how Wi-Fi actually works, how similar it is to The Force and why it can't turn you into The Incredible Hulk!",https://www.youtube.com/watch?v=xmabFJUKMdg,VI,FALSE
TRUE,Introduction To Computer Science,"In this introduction to computer programming course, you’ll learn and practice key computer science concepts by building your own versions of popular web applications. You’ll learn Python, a powerful, easy-to-learn, and widely used programming language, and you’ll explore computer science basics, as you build your own search engine and social network.",https://in.udacity.com/portfolio-builder/intro-to-computer-science--cs101,CO,FALSE
TRUE,What Is A Computer Server?,"You may have heard the word ""Server"" thrown around regularly by IT geeks and your cousin who is awesome with computers. Servers are really not much different than your run of the mill computers and this video explains the difference between the two.",https://www.youtube.com/watch?v=TQQA8RpKxqg,VI,FALSE
TRUE,How To ROOT Almost Any Android Device Easily,Learn to root any mobile device using Kingo Root,https://www.youtube.com/watch?v=AWNykj-lb-I,VI,FALSE
TRUE,Cloud Computing Tutorial For Beginners,"This Cloud Computing Tutorial will explain from scratch what cloud computing is all about. Towards the end, you will see how we can launch our first server on the cloud using AWS and Azure.",https://www.youtube.com/watch?v=kQnNd-DyrpA,VI,FALSE
TRUE,How SD Cards are made ?,SD Cards became one of our daily stuffs. Do you know about how sd cards are made ? This post explains about that topic.,https://webcheerz.com/sd-cards-made/,BL,FALSE
